support;itemsets
1.0;[4026]
1.0;[2708]
1.0;[4026, 2708]
0.9615384615384616;[4066, 2708]
0.9615384615384616;[4394, 4026, 2708]
0.9615384615384616;[4026, 4394]
0.9615384615384616;[2708, 4026, 4068, 4066]
0.9615384615384616;[4026, 2708, 4066]
0.9615384615384616;[4026, 4068, 4066]
0.9615384615384616;[2708, 4066, 4068]
0.9615384615384616;[4026, 4066]
0.9615384615384616;[4394, 2708]
0.9615384615384616;[4066, 4068]
0.9615384615384616;[4026, 4068]
0.9615384615384616;[2708, 4068]
0.9615384615384616;[4394]
0.9615384615384616;[4066]
0.9615384615384616;[4068]
0.9615384615384616;[2708, 4026, 4068]
0.9230769230769231;[4394, 4026, 2708, 4066]
0.9230769230769231;[2744, 4026]
0.9230769230769231;[2744, 2708]
0.9230769230769231;[4066, 4068, 4394, 2708, 4026]
0.9230769230769231;[4394, 4026, 4068, 4066]
0.9230769230769231;[2708, 4066, 4068, 4394]
0.9230769230769231;[2708, 4026, 4068, 4394]
0.9230769230769231;[2708, 4394, 4068]
0.9230769230769231;[4394, 4066, 4068]
0.9230769230769231;[4394, 4026, 4068]
0.9230769230769231;[4026, 4394, 4066]
0.9230769230769231;[4394, 4066, 2708]
0.9230769230769231;[4394, 4068]
0.9230769230769231;[4066, 4394]
0.9230769230769231;[2744]
0.9230769230769231;[2744, 4026, 2708]
