support;itemsets
0.9871794871794872;[2708]
0.9615384615384616;[4026]
0.9615384615384616;[4026, 2708]
0.9230769230769231;[4068]
0.9230769230769231;[2708, 4068]
0.9102564102564102;[4066]
0.9102564102564102;[4148]
0.9102564102564102;[2708, 4148]
0.9102564102564102;[4066, 2708]
0.8974358974358975;[2708, 4026, 4068]
0.8974358974358975;[2708, 4026, 4148]
0.8974358974358975;[4026, 4148]
0.8974358974358975;[2708, 4066, 4068]
0.8974358974358975;[4066, 4068]
0.8974358974358975;[4026, 4068]
0.8846153846153846;[4026, 4066]
0.8846153846153846;[4026, 2708, 4066]
0.8846153846153846;[4120]
0.8846153846153846;[4394]
0.8846153846153846;[4120, 2708]
0.8717948717948718;[4394, 2708]
0.8717948717948718;[4026, 4068, 4066]
0.8717948717948718;[2708, 4026, 4068, 4066]
0.8717948717948718;[4120, 4026, 2708]
0.8717948717948718;[4120, 4026]
0.8589743589743589;[2708, 2742]
0.8589743589743589;[2708, 3658, 3636]
0.8589743589743589;[3658, 2708]
0.8589743589743589;[2708, 3636]
0.8589743589743589;[3658, 3636]
0.8589743589743589;[2742]
0.8589743589743589;[3658]
0.8589743589743589;[3636]
0.8461538461538461;[4068, 2708, 3636]
0.8461538461538461;[4026, 4394, 2708]
0.8461538461538461;[4068, 4148]
0.8461538461538461;[4120, 2708, 2742]
0.8461538461538461;[4026, 2708, 2742]
0.8461538461538461;[4068, 2708, 4148]
0.8461538461538461;[2708, 4066, 3636, 3658]
0.8461538461538461;[2708, 4066, 3636]
0.8461538461538461;[4068, 3636]
0.8461538461538461;[4066, 3658]
0.8461538461538461;[4120, 2742]
0.8461538461538461;[3658, 4068]
0.8461538461538461;[4066, 3636, 3658]
0.8461538461538461;[4026, 4394]
0.8461538461538461;[4066, 2708, 3658]
0.8461538461538461;[4068, 3658, 2708]
0.8461538461538461;[4068, 2708, 3658, 3636]
0.8461538461538461;[4068, 3658, 3636]
0.8461538461538461;[4066, 3636]
0.8461538461538461;[4026, 2742]
0.8333333333333334;[2956]
0.8333333333333334;[4068, 2708, 4026, 4148]
0.8333333333333334;[4120, 4026, 2742]
0.8333333333333334;[4026, 3636]
0.8333333333333334;[4026, 3658]
0.8333333333333334;[4066, 4068, 3658]
0.8333333333333334;[4068, 4066, 2708, 3658]
0.8333333333333334;[4026, 2708, 3658]
0.8333333333333334;[4120, 4026, 2708, 2742]
0.8333333333333334;[4068, 4066, 3636]
0.8333333333333334;[2708, 4066, 4148]
0.8333333333333334;[4120, 4068]
0.8333333333333334;[2708, 4026, 3636, 3658]
0.8333333333333334;[2708, 2956]
0.8333333333333334;[4068, 2708, 4066, 3636]
0.8333333333333334;[4026, 3636, 3658]
0.8333333333333334;[4120, 4066]
0.8333333333333334;[4066, 4148]
0.8333333333333334;[2708, 4026, 3636]
0.8333333333333334;[4120, 4066, 2708]
0.8333333333333334;[4066, 4068, 3658, 2708, 3636]
0.8333333333333334;[4068, 4066, 3636, 3658]
0.8333333333333334;[4120, 2708, 4068]
0.8333333333333334;[4068, 4026, 4148]
0.8205128205128205;[4026, 3636, 3658, 4066]
0.8205128205128205;[4026, 2956]
0.8205128205128205;[4066, 3658, 2708, 3636, 4026]
0.8205128205128205;[2708, 4026, 3636, 4066]
0.8205128205128205;[4026, 2708, 3658, 4066]
0.8205128205128205;[4068, 3658, 3636, 2708, 4026]
0.8205128205128205;[4068, 2708, 4026, 3636]
0.8205128205128205;[4068, 4026, 3636, 3658]
0.8205128205128205;[2708, 4026, 2956]
0.8205128205128205;[4068, 4026, 3636]
0.8205128205128205;[4026, 3636, 4066]
0.8205128205128205;[4120, 2708, 4148]
0.8205128205128205;[4120, 2708, 4026, 4068]
0.8205128205128205;[4120, 2708, 4066, 4068]
0.8205128205128205;[2708, 4026, 4148, 4066]
0.8205128205128205;[2708, 4394, 4068]
0.8205128205128205;[4068, 2708, 4066, 4148]
0.8205128205128205;[4120, 4148]
0.8205128205128205;[4120, 4026, 4066]
0.8205128205128205;[4120, 4026, 2708, 4066]
0.8205128205128205;[4120, 4066, 4068]
0.8205128205128205;[4120, 4026, 4068]
0.8205128205128205;[4394, 4068]
0.8205128205128205;[4026, 4148, 4066]
0.8205128205128205;[4068, 4066, 4148]
0.8205128205128205;[4124]
0.8205128205128205;[2708, 4124]
0.8205128205128205;[4026, 4068, 3658]
0.8205128205128205;[4026, 3658, 4066]
0.8205128205128205;[4068, 4026, 2708, 3658]
0.8076923076923077;[4066, 4068, 2708, 3636, 4026]
0.8076923076923077;[4068, 4026, 4148, 4066]
0.8076923076923077;[4066, 4068, 3658, 3636, 2708, 4026]
0.8076923076923077;[4068, 2956]
0.8076923076923077;[4066, 4068, 3658, 3636, 4026]
0.8076923076923077;[4068, 4026, 3636, 4066]
0.8076923076923077;[4026, 4068, 3658, 4066]
0.8076923076923077;[4394, 2708, 4066]
0.8076923076923077;[4066, 4068, 2708, 4148, 4026]
0.8076923076923077;[4394, 4148]
0.8076923076923077;[4394, 4066]
0.8076923076923077;[2708, 4394, 4148]
0.8076923076923077;[4066, 4068, 3658, 2708, 4026]
0.8076923076923077;[4120, 4026, 4068, 4066]
0.8076923076923077;[4066, 4068, 2708, 4120, 4026]
0.8076923076923077;[4120, 4026, 4148]
0.8076923076923077;[4120, 2708, 4026, 4148]
0.8076923076923077;[4068, 2742]
0.8076923076923077;[2708, 4068, 2742]
0.8076923076923077;[4068, 2708, 2956]
