support;itemsets
1.0;[2708]
0.9932885906040269;[4026]
0.9932885906040269;[4026, 2708]
0.9530201342281879;[2708, 4140]
0.9530201342281879;[4140]
0.9463087248322147;[4026, 2708, 4140]
0.9463087248322147;[4026, 4140]
0.9463087248322147;[4168, 2708]
0.9463087248322147;[4168]
0.9395973154362416;[4168, 4140]
0.9395973154362416;[4168, 4026]
0.9395973154362416;[4168, 2708, 4140]
0.9395973154362416;[4168, 4026, 2708]
0.9328859060402684;[4168, 4026, 4140]
0.9328859060402684;[4168, 4026, 2708, 4140]
0.912751677852349;[2742]
0.912751677852349;[4026, 2742]
0.912751677852349;[2708, 2742]
0.912751677852349;[4026, 2708, 2742]
0.9060402684563759;[4066]
0.9060402684563759;[4066, 2708]
