support;itemsets
1.0;[4066]
1.0;[3658, 2708, 4066]
1.0;[2708, 2956, 3658, 3636]
1.0;[2956, 4066, 2708, 3636]
1.0;[2708, 3658, 2956, 4066]
1.0;[2956, 3658, 3636, 4066]
1.0;[2708, 3658, 3636, 4066]
1.0;[2956, 2708, 3636]
1.0;[2708, 3658, 2956]
1.0;[2956, 3658, 3636]
1.0;[2708, 3658, 3636]
1.0;[2956, 4066, 2708]
1.0;[2956, 4066, 3636]
1.0;[4066, 2708, 3636]
1.0;[3658, 2956, 4066]
1.0;[3658, 3636, 4066]
1.0;[3658]
1.0;[2956, 2708]
1.0;[2956, 3636]
1.0;[2708, 3636]
1.0;[3658, 2956]
1.0;[3658, 2708]
1.0;[3658, 3636]
1.0;[4066, 2956]
1.0;[4066, 2708]
1.0;[4066, 3636]
1.0;[3658, 4066]
1.0;[2956]
1.0;[2708]
1.0;[3636]
1.0;[4066, 3658, 2956, 2708, 3636]
