support;itemsets
0.9622641509433962;[2708]
0.9308176100628931;[4068]
0.9213836477987422;[4066]
0.89937106918239;[2708, 4068]
0.8962264150943396;[4026]
0.8930817610062893;[4066, 4068]
0.8930817610062893;[4066, 2708]
0.8867924528301887;[4026, 2708]
0.8836477987421384;[3636]
0.8805031446540881;[3658]
0.8805031446540881;[3658, 3636]
0.8647798742138365;[2708, 4066, 4068]
0.8616352201257862;[4068, 3636]
0.8584905660377359;[2956]
0.8584905660377359;[3658, 4068]
0.8584905660377359;[4068, 3658, 3636]
0.8584905660377359;[2708, 3636]
0.8553459119496856;[3658, 2708, 3636]
0.8553459119496856;[3658, 2708]
0.8490566037735849;[4066, 3636]
0.8459119496855346;[4066, 3636, 3658]
0.8459119496855346;[4066, 3658]
0.8364779874213837;[4068, 2708, 3636]
0.8364779874213837;[4148]
0.8333333333333334;[4068, 3658, 2708]
0.8333333333333334;[4068, 3658, 2708, 3636]
0.8333333333333334;[2708, 2956]
0.8333333333333334;[4026, 4068]
0.8270440251572327;[4068, 4066, 3636]
0.8270440251572327;[4026, 4066]
0.8270440251572327;[2708, 4066, 3636]
0.8238993710691824;[2708, 4026, 4068]
0.8238993710691824;[4066, 2708, 3658]
0.8238993710691824;[4066, 4068, 3658]
0.8238993710691824;[4066, 2708, 3658, 3636]
0.8238993710691824;[4068, 4066, 3636, 3658]
0.8207547169811321;[4026, 2708, 4066]
0.8176100628930818;[4068, 2956]
0.8144654088050315;[2956, 3636]
0.8113207547169812;[4066, 2956]
0.8113207547169812;[3658, 2956, 3636]
0.8113207547169812;[4120]
0.8113207547169812;[3658, 2956]
0.8081761006289309;[2708, 4148]
0.8050314465408805;[4068, 2708, 4066, 3636]
0.8018867924528302;[4066, 4068, 3658, 2708, 3636]
0.8018867924528302;[4068, 4066, 2708, 3658]
