support;itemsets
1.0;[2708]
0.9915966386554622;[4026, 2708]
0.9915966386554622;[4026]
0.9831932773109243;[4066]
0.9831932773109243;[4066, 2708]
0.9747899159663865;[4026, 4066, 2708]
0.9747899159663865;[4026, 4066]
0.9663865546218487;[4068]
0.9663865546218487;[2708, 4066, 4068]
0.9663865546218487;[2708, 4068]
0.9663865546218487;[4066, 4068]
0.957983193277311;[3658, 2708, 4066]
0.957983193277311;[3658, 2708]
0.957983193277311;[4026, 2708, 4066, 4068]
0.957983193277311;[2708, 4026, 4068]
0.957983193277311;[4026, 4068]
0.957983193277311;[4026, 4066, 4068]
0.957983193277311;[3658, 4066]
0.957983193277311;[3658]
0.9495798319327731;[2708, 4020]
0.9495798319327731;[4026, 4066, 2708, 3658]
0.9495798319327731;[4026, 3658, 2708]
0.9495798319327731;[2708, 4066, 3636]
0.9495798319327731;[4026, 3658]
0.9495798319327731;[3636]
0.9495798319327731;[4026, 4020]
0.9495798319327731;[4020]
0.9495798319327731;[2742]
0.9495798319327731;[4016]
0.9495798319327731;[2708, 4026, 4020]
0.9495798319327731;[2708, 2742]
0.9495798319327731;[4016, 2708]
0.9495798319327731;[2708, 3636]
0.9495798319327731;[4066, 3636]
0.9495798319327731;[4026, 4066, 3658]
0.9411764705882353;[4026, 2708, 2742]
0.9411764705882353;[4026, 3636]
0.9411764705882353;[3658, 3636]
0.9411764705882353;[4016, 4026, 4020]
0.9411764705882353;[4066, 3636, 3658]
0.9411764705882353;[2708, 4066, 3636, 3658]
0.9411764705882353;[2708, 4026, 3636]
0.9411764705882353;[4026, 4066, 3636]
0.9411764705882353;[4026, 2708, 4066, 3636]
0.9411764705882353;[2708, 3658, 3636]
0.9411764705882353;[3658, 4068, 4066]
0.9411764705882353;[2708, 3658, 4068, 4066]
0.9411764705882353;[4016, 4026, 2708]
0.9411764705882353;[2708, 3658, 4068]
0.9411764705882353;[3658, 4068]
0.9411764705882353;[4016, 4020]
0.9411764705882353;[4016, 4026]
0.9411764705882353;[4026, 2742]
0.9411764705882353;[4016, 2708, 4020]
0.9411764705882353;[4016, 2708, 4026, 4020]
0.9327731092436975;[4066, 4020]
0.9327731092436975;[4066, 2742]
0.9327731092436975;[4068, 4066, 3636]
0.9327731092436975;[2708, 4066, 4020]
0.9327731092436975;[4066, 2708, 2742]
