support;itemsets
0.9428571428571428;[2708]
0.9371428571428572;[4026]
0.9142857142857143;[4026, 2708]
0.88;[4066]
0.8514285714285714;[4068]
0.8457142857142858;[4066, 2708]
0.8285714285714286;[2744]
0.8285714285714286;[4148]
0.8285714285714286;[4068, 2708]
0.8228571428571428;[4026, 4066]
0.8171428571428572;[2956]
0.8171428571428572;[4124]
0.8171428571428572;[4026, 4066, 2708]
0.8171428571428572;[4066, 4068]
0.8114285714285714;[2742]
0.8057142857142857;[4120]
0.8;[4026, 4068]
0.8;[4068, 4026, 2708]
0.8;[2744, 4026]
0.8;[2744, 2708]
